Activation,Outcome,Instability,Object,Size,Material,Interaction,Approach,EEF_Position,Start_Time,
0.09080459770114942,SUCCESS,0.010197741508220896,TRI_PRISM,SMALL,COMPLIANT,FREE,FRONT,FAR,1785480611.949,
0.08988095238095238,FAILURE,0.021845570804391735,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CLOSE,1785492915.232,
0.08983818770226538,SUCCESS,0.010667413875969957,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,CLOSE,1785482396.347,
0.08687719298245614,SUCCESS,0.011094272280038515,CYLINDER,LARGE,COMPLIANT,FREE,FRONT,CENTER,1785488125.271,
0.0853974121996303,FAILURE,0.01850048479999227,TRI_PRISM,SMALL,RIGID,STRING,FRONT,CENTER,1785479732.164,
0.08424507658643328,FAILURE,0.023236117732704967,PLANE,LARGE,RIGID,STRING,FRONT,FAR,1785546845.047,
0.08368910782703885,FAILURE,0.007246543666891841,CYLINDER,LARGE,RIGID,STRING,FRONT,FAR,1785487641.802,
0.0835249042145594,FAILURE,0.018444807130056567,TRI_PRISM,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785491774.820,
0.07912652536929993,SUCCESS,0.017093125304613207,TRI_PRISM,SMALL,RIGID,FREE,FRONT,FAR,1785481278.255,
0.07907293796864348,FAILURE,0.016974110443631358,CYLINDER,SMALL,RIGID,STRING,FRONT,CENTER,1785461507.867,
0.07569850552306694,SUCCESS,0.018122146340030065,ASYM_RECT,SMALL,COMPLIANT,FREE,FRONT,FAR,1785484192.196,
0.07531645569620254,FAILURE,0.015662627207395575,TRI_PRISM,LARGE,RIGID,FREE,FRONT,FAR,1785494697.695,
0.07525697503671071,FAILURE,0.014996679819118825,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CENTER,1785493563.487,
0.0736464448793216,FAILURE,0.013857287439783292,CYLINDER,LARGE,RIGID,STRING,FRONT,CENTER,1785490574.101,
0.07342143906020558,FAILURE,0.01622642350486671,ASYM_RECT,LARGE,COMPLIANT,FREE,FRONT,CLOSE,1785497589.083,
0.07212121212121213,FAILURE,0.01359316654420537,TRI_PRISM,LARGE,RIGID,FREE,FRONT,CENTER,1785493726.017,
